MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.000177988,-0.0359332,-0.0524706,-0.165439,-0.024143,0.0031485,0.0797671
0.000212753,0.0189298,-0.0811469,-0.00237598,0.0368423,0.0443081,0.0703625
0.000214829,-0.0215668,-0.0851068,-0.139982,-0.0329211,0.0349663,0.0398384
0.000215642,-0.103857,-0.0433597,-0.318436,-0.0382754,0.0310191,0.194618
0.000203882,-0.136765,-0.11418,-0.269893,-0.139099,-0.0220711,0.118507
0.000219204,-0.24284,-0.387584,-0.536146,-0.0612557,0.0154556,0.380835
0.000206682,-0.328384,-0.442759,-0.550266,-0.137772,-0.0200533,0.374123
0.000208319,-0.179567,-0.320669,-0.482654,-0.119094,-0.00571068,0.235863
0.000206846,-0.317592,-0.220697,-0.452564,-0.130559,0.00227633,0.169557
0.000211019,-0.564302,-0.0794399,-0.0664382,-0.259174,-0.0319289,0.18962
0.000227775,-0.51828,-0.128328,-0.054769,-0.165207,-0.0142284,0.306371
0.000208043,-0.594092,-0.266187,-0.353849,-0.211544,-0.0113186,0.26915
0.000207821,-0.819284,-0.135476,-0.331892,-0.273711,-0.054938,0.385506
0.000213858,-0.738167,-0.392223,-0.0150611,-0.278799,-0.0184766,0.204514
0.000214256,-0.818685,-0.390183,0.135281,-0.365443,-0.0234677,0.262526
0.000231425,-0.949286,-0.337185,0.165399,-0.340187,-0.0454042,0.289257
0.000208269,-0.992182,-0.244287,0.412612,-0.344844,-3.79847e-05,0.453779
0.000219873,-1.07685,-0.23371,0.216562,-0.423985,-0.0503415,0.403981
0.000220938,-1.07283,-0.406133,-0.0701437,-0.461955,-0.0528377,0.648004
0.00022627,-1.09411,-0.493327,-0.40103,-0.469217,-0.0537435,0.639288
0.000229684,-1.09029,-0.528693,-0.248367,-0.400002,-0.0515508,0.595812
0.000215952,-1.03082,-0.498227,-0.0727088,-0.406802,-0.0778174,0.619673
0.000215883,-1.06622,-0.652662,-0.355741,-0.461392,-0.101428,0.622348
0.000219957,-1.07163,-0.838337,-0.74743,-0.514505,-0.124725,0.609046
0.000209175,-0.978965,-0.782372,-0.826878,-0.449694,-0.111672,0.417073
0.000228936,-1.04664,-0.924637,-0.75215,-0.502666,-0.178439,0.470209
