MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.000244661,-0.00851965,-0.0323699,-0.0397926,-0.024143,0.0031485,0.0797671
0.000282591,0.0219705,-0.03216,-0.0655755,0.0368423,0.0443081,0.0703625
0.000246451,0.0103066,-0.0388722,0.0150603,-0.0329211,0.0349663,0.0398384
0.000232523,-0.119883,-0.0409949,0.047463,-0.0382754,0.0310191,0.194618
0.000249012,-0.115802,-0.0541937,-0.0115115,-0.139099,-0.0220711,0.118507
0.000239311,-0.258564,-0.0614991,-0.00935113,-0.0612557,0.0154556,0.380835
0.000209526,-0.402999,-0.053713,0.06916,-0.137772,-0.0200533,0.374123
0.000303869,-0.166814,-0.0548638,0.0401013,-0.119094,-0.00571068,0.235863
0.000311268,-0.183739,-0.0302477,0.0988776,-0.130559,0.00227633,0.169557
0.000276911,-0.330294,-0.0787719,0.0676414,-0.259174,-0.0319289,0.18962
0.000197172,-0.185271,-0.0860428,0.0408147,-0.165207,-0.0142284,0.306371
0.000352598,-0.299793,-0.0572027,0.112266,-0.211544,-0.0113186,0.26915
0.000542546,-0.3641,-0.0397512,0.171137,-0.273711,-0.054938,0.385506
0.000299871,-0.223896,-0.086611,0.139351,-0.278799,-0.0184766,0.204514
0.00029411,-0.252859,-0.11269,0.0944761,-0.365443,-0.0234677,0.262526
0.000247972,-0.396065,-0.0962184,0.151699,-0.340187,-0.0454042,0.289257
0.000280089,-0.415831,-0.103208,0.154376,-0.344844,-3.79847e-05,0.453779
0.000239395,-0.439348,-0.100104,0.163473,-0.423985,-0.0503415,0.403981
0.000209652,-0.435231,-0.0870089,0.218687,-0.461955,-0.0528377,0.648004
0.00023872,-0.453793,-0.107139,0.161809,-0.469217,-0.0537435,0.639288
0.000239784,-0.441578,-0.0793069,0.226408,-0.400002,-0.0515508,0.595812
0.000274782,-0.430702,-0.0500268,0.217829,-0.406802,-0.0778174,0.619673
0.000189073,-0.440864,-0.0369303,0.249186,-0.461392,-0.101428,0.622348
0.000185252,-0.433036,-0.0204179,0.258298,-0.514505,-0.124725,0.609046
0.00022158,-0.408486,-0.0225163,0.240497,-0.449694,-0.111672,0.417073
0.000234535,-0.545538,-0.0159511,0.235341,-0.502665,-0.178439,0.470209
0.00028961,-0.567585,-0.0179414,0.188094,-0.49961,-0.180515,0.617739
0.000475886,-0.529481,-0.00896739,0.286323,-0.487058,-0.18596,0.577228
0.000301006,-0.584518,-0.0127083,0.280898,-0.437275,-0.149089,0.697659
0.000283042,-0.59536,0.0142809,0.252962,-0.468236,-0.194973,0.743096
0.000245482,-0.424489,0.00639987,0.247243,-0.406066,-0.149605,0.535737
0.000292741,-0.594384,0.0327321,0.34459,-0.500682,-0.206158,0.666339
0.000316966,-0.65207,-0.000201311,0.212916,-0.433607,-0.132504,0.72269
0.000220741,-0.633076,-0.01777,0.193712,-0.446135,-0.127063,0.763196
0.000216554,-0.642037,-0.0290399,0.225561,-0.508997,-0.144857,0.847127
0.000255154,-0.622428,-0.0258685,0.222358,-0.51845,-0.162038,0.79739
0.00015603,-0.617544,-0.0342828,0.220419,-0.516539,-0.143701,0.747578
0.000271272,-0.657149,-0.043648,0.241196,-0.561554,-0.149441,0.711312
0.000289766,-0.631058,-0.0343064,0.305523,-0.610392,-0.105205,0.641812
0.000271779,-0.625123,-0.0753465,0.334126,-0.634741,-0.0666763,0.583341
0.000290992,-0.770869,-0.110497,0.39563,-0.70358,-0.0820637,0.914132
0.00021803,-0.769488,-0.126284,0.45609,-0.727592,-0.0579185,0.780511
0.000454217,-0.827294,-0.195648,0.45125,-0.842993,-0.0245558,0.82802
0.000484929,-0.948191,-0.259302,0.379857,-0.945062,0.0432541,0.861379
0.000399859,-0.795786,-0.348685,0.454493,-0.980053,0.0584228,0.677059
0.000445235,-0.979722,-0.426168,0.534611,-1.0875,0.123637,0.865117
0.00173025,-1.40724,-0.502255,0.380515,-1.20246,0.118438,1.25058
0.00034561,-1.2384,-0.646944,0.328013,-1.24146,0.270277,1.19114
0.000509142,-1.35377,-0.736184,0.212497,-1.19258,0.410667,1.559
0.000512901,-1.78549,-0.859239,0.174178,-1.27592,0.48995,2.13653
0.000528153,-1.78577,-1.02662,0.036043,-1.11116,0.641387,2.10462
