MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.00479699,-0.0544602,0.0438367,0.0170516,-0.024143,0.0031485,0.0797671
0.00434145,0.0582822,0.0101358,-0.00114306,0.0368423,0.0443081,0.0703625
0.00429179,0.0316073,0.0884657,0.0332335,-0.0329211,0.0349663,0.0398384
0.00436921,-0.0732559,0.134276,-0.0740072,-0.0382754,0.0310191,0.194618
0.00427067,-0.0502656,0.125064,0.0774205,-0.139099,-0.0220711,0.118507
0.00415144,-0.164529,-0.0662924,-0.0125588,-0.0612557,0.0154556,0.380835
0.00387677,-0.303163,-0.0283721,0.100274,-0.137772,-0.0200533,0.374123
0.00441687,-0.0908013,-0.0933278,0.00140643,-0.119094,-0.00571068,0.235863
0.00424865,-0.144327,-0.00262938,0.0508316,-0.130559,0.00227633,0.169557
0.00462949,-0.28823,-0.0977404,-0.276722,-0.259174,-0.0319289,0.18962
0.00496118,-0.222788,0.0941956,-0.356705,-0.165207,-0.0142284,0.306371
0.0041805,-0.370374,0.136944,-0.229216,-0.211544,-0.0113186,0.26915
0.0048238,-0.571131,0.19231,-0.216,-0.273711,-0.054938,0.385506
0.00418263,-0.462824,0.055122,-0.321293,-0.278799,-0.0184766,0.204514
0.00392016,-0.548482,0.00535884,-0.159608,-0.365443,-0.0234677,0.262526
0.00408771,-0.695628,0.0666334,-0.189335,-0.340187,-0.0454042,0.289257
0.00414075,-0.766324,0.0304612,-0.286622,-0.344844,-3.79847e-05,0.453779
0.00426895,-0.857663,0.0274372,-0.0174639,-0.423985,-0.0503415,0.403981
0.0043427,-0.893682,-0.0317611,-0.15652,-0.461955,-0.0528377,0.648004
0.00411826,-0.987883,0.113915,-0.286516,-0.469217,-0.0537435,0.639288
0.00447947,-1.01911,0.132703,-0.194478,-0.400002,-0.0515508,0.595812
0.00421373,-1.0123,0.0335768,-0.367464,-0.406802,-0.0778174,0.619673
0.00415687,-1.09723,-0.0718005,-0.164887,-0.461392,-0.101428,0.622348
0.00481017,-1.06344,-0.031306,-0.339888,-0.514505,-0.124725,0.609046
0.00512021,-0.978606,0.0519636,-0.399478,-0.449694,-0.111672,0.417073
0.0044328,-1.0892,0.103886,-0.199575,-0.502666,-0.178439,0.470209
0.00417252,-1.12013,0.0217949,-0.329996,-0.49961,-0.180515,0.617739
0.00454932,-1.02623,0.0388991,-0.229712,-0.487058,-0.185961,0.577228
0.00432969,-1.11495,-0.130869,-0.397005,-0.437275,-0.149089,0.697659
0.00458816,-1.14246,-0.241709,-0.824639,-0.468236,-0.194973,0.743096
0.00457189,-0.978801,-0.226896,-0.784335,-0.406066,-0.149605,0.535737
0.00432678,-1.18742,-0.269216,-0.942228,-0.500682,-0.206158,0.666339
0.00428903,-1.29199,-0.297087,-1.18593,-0.433607,-0.132504,0.72269
0.00399109,-1.29158,-0.367862,-1.22516,-0.446135,-0.127063,0.763196
0.00394665,-1.3014,-0.451224,-1.36626,-0.508997,-0.144857,0.847127
0.00496152,-1.19141,-0.344122,-1.56804,-0.51845,-0.162038,0.79739
0.00437525,-1.15662,-0.340177,-1.70355,-0.516539,-0.143701,0.747578
0.0041799,-1.23534,-0.305395,-1.72394,-0.561554,-0.149441,0.711312
0.00420434,-1.23667,-0.403632,-1.77324,-0.610392,-0.105205,0.641812
0.00418582,-1.18791,-0.426977,-1.52023,-0.634741,-0.0666763,0.583341
0.00440386,-1.33658,-0.636566,-1.60823,-0.70358,-0.0820637,0.914132
0.00443271,-1.31435,-0.746038,-1.6349,-0.727592,-0.0579185,0.780511
0.00437744,-1.41776,-0.866989,-1.59382,-0.842993,-0.0245558,0.82802
0.00685171,-1.40064,-0.77586,-0.416432,-0.945062,0.0432541,0.861379
0.00411756,-1.29792,-0.949139,-0.302923,-0.980053,0.0584228,0.677059
0.0045111,-1.54831,-0.93435,-0.264628,-1.0875,0.123637,0.865117
0.00482689,-1.96447,-1.06225,0.131348,-1.20246,0.118438,1.25058
