MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.00113502,0.0463937,0.0670852,2.71602e-05,0.0235428,-0.0455408,0.164307
0.00105222,0.278363,-0.0791291,-0.000192219,0.0311692,-0.0533268,0.390584
0.00107702,0.433468,-0.104441,0.185181,0.000379734,-0.0660268,0.652448
0.00111957,0.419234,-0.145219,0.142807,0.140095,-0.116738,0.84246
0.00105686,0.607648,-0.228571,0.486383,0.240157,-0.133872,1.10132
0.00108754,0.644747,-0.195611,0.676731,0.284015,-0.131413,1.32794
0.00108382,0.731821,-0.121131,0.640875,0.326292,-0.147726,1.55582
0.00108687,0.823865,-0.330804,1.00618,0.311905,-0.171128,1.87358
0.00104467,0.87452,-0.39158,1.27622,0.488625,-0.165647,2.02379
0.0011957,1.05585,-0.366597,1.61564,0.620296,-0.166661,2.18758
0.00113104,1.16357,-0.442611,1.79729,0.496467,-0.120245,2.4498
0.00111544,1.06068,-0.46282,1.89325,0.803913,-0.141268,2.47845
0.00107452,1.13004,-0.463971,1.98211,0.844952,-0.115242,2.65586
0.00105943,1.20532,-0.467249,2.02308,0.894594,-0.0937977,2.81949
0.00109796,1.30544,-0.416182,2.1648,0.91263,-0.0897259,3.04157
0.00108514,1.44686,-0.404037,2.28445,0.923568,-0.0819017,3.15776
0.00104413,1.56408,-0.416065,2.40701,0.884764,-0.0391973,3.34619
0.00108463,1.63207,-0.46655,2.72946,0.887564,-0.0411195,3.47735
0.00101497,1.81872,-0.435479,2.74922,0.993938,-0.052986,3.55411
0.00108079,1.79151,-0.482404,2.90482,1.0422,-0.103593,3.68621
0.00102813,1.83162,-0.548025,2.98473,1.05253,-0.052061,3.75213
0.00102209,1.94094,-0.50036,2.99661,1.10859,-0.118256,3.87114
0.00104062,1.71728,-0.555009,3.0286,0.884323,0.0426249,4.06046
0.00108433,1.72273,-0.520107,3.06799,1.02677,0.00669039,4.02004
0.00115596,1.76542,-0.590458,3.16548,0.914034,0.0646669,4.07449
0.00106381,1.64619,-0.598115,3.083,1.19025,0.0665202,3.9552
0.0010687,1.46311,-0.598224,3.17379,1.46517,-0.116528,3.65582
0.00104862,1.2545,-0.539187,2.91585,1.50121,-0.125178,3.53729
0.0010866,1.06943,-0.565008,2.74254,1.5576,-0.166194,3.36722
